target_action,priority,target_score,market_slug,question,outcome,category,signal_cohort,edge_lower_bound,liquidity,spread,rejection_reason,recommended_query,reason,next_command,rank
IGNORE_NEGATIVE_EDGE,5,4.94466,atp-collign-cerund-2026-07-18-set-totals-2pt5,Raphael Collignon vs. Juan Manuel Cerundolo: Total Sets O/U 2.5,Over 2.5,tennis,tennis_tennis_set,-0.004275800174321767,144.66,0.020000000000000018,alpha lower-bound edge below configured minimum; cohort_quarantined,tennis,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17221
IGNORE_NEGATIVE_EDGE,5,4.94299,will-drake-baldwin-record-a-hit-at-the-2026-mlb-all-star-game-20260714022249830,Will Drake Baldwin record a hit at the 2026 MLB All-Star Game?,Yes,baseball_mlb_match,baseball_mlb_match,-0.03425221265637017,342.99,0.03999999999999998,alpha lower-bound edge below configured minimum; cohort_quarantined,top_active,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17222
IGNORE_NEGATIVE_EDGE,5,4.94,will-the-los-angeles-angels-hit-the-most-home-runs-in-the-2026-mlb-regular-season-20260702205616631,Will the Los Angeles Angels hit the most home runs in the 2026 MLB regular season?,No,baseball_mlb_match,baseball_mlb_match,-0.04554754732977303,100.0,0.016000000000000014,alpha lower-bound edge below configured minimum; cohort_quarantined,top_active,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17223
IGNORE_NEGATIVE_EDGE,5,4.94,will-nflx-dip-to-40-in-july-2026,"Will Netflix, Inc. (NFLX) hit (LOW) $40 in July?",No,culture_entertainment,culture_entertainment,-0.04634754732977309,110.0,0.017000000000000015,alpha lower-bound edge below configured minimum,top_active,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17224
IGNORE_NEGATIVE_EDGE,5,4.94,will-francisco-lindor-record-a-hit-at-the-2026-mlb-all-star-game-20260714022249862,Will Francisco Lindor record a hit at the 2026 MLB All-Star Game?,No,baseball_mlb_match,baseball_mlb_match,-0.045911675446943745,100.0,0.016000000000000014,alpha lower-bound edge below configured minimum; cohort_quarantined,top_active,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17225
IGNORE_NEGATIVE_EDGE,5,4.94,spy-closes-above-745-on-july-20-2026,S&P 500 (SPY) closes above $745 on July 20?,Yes,equities_macro,equities_macro,-0.13481146393677018,140.0,0.020000000000000018,alpha lower-bound edge below configured minimum; cohort_quarantined,top_active,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17226
IGNORE_NEGATIVE_EDGE,5,4.94,spy-closes-above-745-on-july-20-2026,S&P 500 (SPY) closes above $745 on July 20?,No,equities_macro,equities_macro,-0.008274349023344615,140.0,0.019999999999999962,alpha lower-bound edge below configured minimum; cohort_quarantined,top_active,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17227
IGNORE_NEGATIVE_EDGE,5,4.93999,spy-closes-above-765-on-july-20-2026,S&P 500 (SPY) closes above $765 on July 20?,No,equities_macro,equities_macro,-0.04645709635553995,109.99,0.017000000000000015,alpha lower-bound edge below configured minimum; cohort_quarantined,top_active,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17228
IGNORE_NEGATIVE_EDGE,5,4.9399,will-alexander-zverev-win-the-2026-mens-us-open,Will Alexander Zverev win the 2026 Men's US Open?,Yes,tennis,tennis_match,-0.04348322696199102,129.9,0.01899999999999999,alpha lower-bound edge below configured minimum; cohort_quarantined,tennis,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17229
IGNORE_NEGATIVE_EDGE,5,4.9399,will-alexander-zverev-win-the-2026-mens-us-open,Will Alexander Zverev win the 2026 Men's US Open?,No,tennis,tennis_match,-0.08399453603238864,129.9,0.019000000000000017,alpha lower-bound edge below configured minimum; cohort_quarantined,tennis,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17230
IGNORE_NEGATIVE_EDGE,5,4.9395,will-baidu-be-the-third-best-chinese-ai-company-at-the-end-of-august-2026-20260720224316848,Will Baidu be the third-best Chinese AI company at the end of August 2026?,Yes,unknown,unknown,-0.017401734693877582,139.5,0.020000000000000018,alpha lower-bound edge below configured minimum; cohort_quarantined,top_active,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17231
IGNORE_NEGATIVE_EDGE,5,4.9395,will-baidu-be-the-third-best-chinese-ai-company-at-the-end-of-august-2026-20260720224316848,Will Baidu be the third-best Chinese AI company at the end of August 2026?,No,unknown,unknown,-0.12338106466242416,139.5,0.020000000000000018,alpha lower-bound edge below configured minimum; cohort_quarantined,top_active,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17232
IGNORE_NEGATIVE_EDGE,5,4.93819,will-solana-dip-to-40-by-december-31-2026-343-482,"Will Solana dip to $40 by December 31, 2026?",Yes,crypto,crypto,-0.029369934693877595,238.19,0.030000000000000027,alpha lower-bound edge below configured minimum; cohort_quarantined,solana updown,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17233
IGNORE_NEGATIVE_EDGE,5,4.93819,will-solana-dip-to-40-by-december-31-2026-343-482,"Will Solana dip to $40 by December 31, 2026?",No,crypto,crypto,-0.13493407248218073,238.19,0.030000000000000027,alpha lower-bound edge below configured minimum; cohort_quarantined,solana updown,No positive lower-bound edge after costs and haircuts.,polymarket-engine profit-sprint --config polymarket_predictive_config.example.yaml,17234
